#ID	Name
1	Bronze Temple Guard [1]
2	Iron Temple Guard [1]
3	Titanium Temple Guard [1]
4	Circlet of Intellect [1]
5	Circlet of Wisdom [1]
6	Circlet of Enlightenment [1]
7	Search Headgear [1]
8	Detector Headgear [1]
9	Thermo Headgear [1]
10	Black Mask [1]
11	Shadow Mask [1]
12	Hermit Mask [1]
13	Soldier's Headband [1]
14	Sergeant's Headband [1]
15	Feather Band [1]
16	Black Feather Band [1]
17	Rainbow Feather Band [1]
18	Divining Hairgrip [1]
19	Four Sea Hairgrip [1]
20	Pale Memory [1]
21	Light Memory [1]
22	Boost Memory [1]
23	Luminous Memory [1]
24	Expanding Memory [1]
25	Brute Memory [2]
26	Chaotic Memory [3]
27	Long-Range Memory [1]
28	Ice Headband [1]
29	Optical Headband [1]
30	Crimson Headband [1]
31	Beast Mask [1]
32	Ghillie Mask [1]
33	Scale Mask [1]
34	Aural Enhance Sensor [1]
35	Ultra Aural Snesor [1]
36	Sonic Sensor [1]
37	[blank]
38	[blank]
39	[blank]
40	Iron Headband [1]
41	Lazure Headband [1]
42	Golden Headband [1]
43	Fiber Underguard [1]
44	Ceramic Underguard [1]
45	Warrior's Armor Vest [1]
46	Fierce Armor Vest [1]
47	Berserker's Armor Vest [1]
48	Armored Lining [1]
49	Shell Lining [1]
50	Asylum Lining [1]
51	Swimmer's Chemise [1]
52	Crystalline Chemise [1]
53	Gear Support [1]
54	Jade Support [1]
55	Titanium Support [1]
56	Spiked Pauldrons [1]
57	Jet Pauldrons [1]
58	Hero Pauldrons [1]
59	Power Bangle [1]
60	Strike Bangle [1]
61	Induction Bangle [1]
62	Fire Bangle [1]
63	Flame Bangle [1]
64	White Wraps [1]
65	Leather Wraps [1]
66	Fiber Wraps [1]
67	Work Gloves [1]
68	Engineer Gloves [1]
69	Tactical Gloves [1]
70	[blank]
71	Challenger Gauntlet [1]
72	Victor Gauntlet [1]
73	Bronze Gauntlet [1]
74	Adamantine Gauntlet [1]
75	Jewel Beetle Gauntlet [1]
76	Rainbow Gloves [1]
77	Hero Gloves [1]
78	Carbon Gloves [1]
79	Leather Gloves [1]
80	Smithy Gloves [1]
81	Apprentice Vambraces [1]
82	Warrior's Armlet [1]
83	Hero Vambraces [1]
84	Black Steel Band [1]
85	Lazure Vambraces [1]
86	Misanga [1]
87	Iron Misanga [1]
88	Feather Misanga [1]
89	Charm Bangle [1]
90	Belemnite Bangle [1]
91	Bronze Choker [1]
92	Silver Choker [1]
93	Gold Choker [1]
94	Silver Necklace [1]
95	Gold Necklace [1]
96	Star Necklace [1]
97	Moon Necklace [1]
98	Prayer Necklace [1]
99	Beastfang Necklace [1]
100	Sharpfang Necklace [1]
101	Dragonfang Necklace [1]
102	Whirlwind Necklace [1]
103	Buffeting Necklace [1]
104	Storm Necklace [1]
105	Nacre Choker [1]
106	Comet Choker [1]
107	Sunlight Choker [1]
108	Bunnit Choker [1]
109	Gold Gear Choker [1]
110	Chrome Scarf [1]
111	Unicorn Scarf [1]
112	Quantum Scarf [1]
113	Harvest Necklace [1]
114	Affection Necklace [1]
115	Immaculate Necklace [1]
116	Memory Locket [3]
117	Learned Amulet [1]
118	Sage's Auspices [1]
119	Plate Belt [1]
120	Shield Belt [1]
121	Tool Belt [1]
122	Work Belt [1]
123	Fiber Belt [1]
124	Braided Belt [1]
125	Silver Braided Belt [1]
126	Slashing Weapon Belt [1]
127	Firearm Belt [1]
128	Crushing Weapon Belt [1]
129	Assist Belt [1]
130	Harness Belt [1]
131	Survival Belt [1]
132	Strung Amber [1]
133	Strung Jade [1]
134	Strung Lapis Lazuli [1]
135	Stone Belt [1]
136	Iron Sash [1]
137	Power Belt [1]
138	Steam Belt [1]
139	Silver Belt [1]
140	Ceramic Belt [1]
141	Beast-Hide Vest [1]
142	Muscle Belt [1]
143	Champion Belt [1]
144	White Belt [1]
145	Black Belt [1]
146	Platinum Belt [1]
147	Foot Protector [1]
148	Heavy Foot Protector [1]
149	Metal Foot Protector [1]
150	Soft Foot Wraps [1]
151	Strong Foot Wraps [1]
152	Special Foot Wraps [1]
153	Light Weak Guard [1]
154	Heavy Weak Guard [1]
155	Solid Weak Guard [1]
156	Fur Socks [1]
157	Solid Socks [1]
158	Flood Socks [1]
159	Star Anklets [1]
160	Moon Anklets [1]
161	Cosmos Anklets [1]
162	Wind Leg Frame [1]
163	Gale Leg Frame [1]
164	Cyrus Leg Frame [1]
165	Sturdy Anklets [1]
166	Vigorous Anklets [1]
167	Shell Protector [1]
168	Smart Protector [1]
169	Hyper Protector [1]
170	Silver Anklets [1]
171	Golden Anklets [1]
172	Platinum Anklets [1]
173	Crystal Anklets [1]
174	Herald's Kneeguard [1]
175	Scout's Kneeguard [1]
176	Survivor Kneeguard [1]
177	Graphite Kneeguard [1]
178	Lead Kneeguard [1]
179	Metallic Kneeguard [1]
180	Defense Cuffs [1]
181	Repulsor Cuffs [1]
182	Tear Amulet [1]
183	Rage Amulet [1]
184	Flame Amulet [1]
185	Hellfire Amulet [1]
186	Signet Ring [1]
187	Champion Ring [1]
188	Gold Cube [1]
189	Platinum Cube [1]
190	Garnet [1]
191	Sapphire [1]
192	Diamond [1]
193	Dark Orb [1]
194	Eraser Orb [1]
195	Bloody Orb [1]
196	Soldier Ring [1]
197	Berserk Ring [1]
198	Tyrant Ring [1]
199	Attack Stone [1]
200	Assault Stone [1]
201	Violent Stone [1]
202	Friendship Ring [1]
203	Affection Ring [1]
